stream_files�
"Munic�pio","ibge","latitude","longitude","/Com�rcio/Vend...lina Automotiva 2011 (litros)"
"Forquetinha","4308433","-29.379200000000","-52.091700000000","349.000"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","845.000"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","8.349.542"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","10.572.000"
"Garruchos","4308656","-28.194400000000","-55.638300000000","260.000"
"Gaurama","4308706","-27.585599999990","-52.091500000000","962.000"
"General C�mara","4308805","-29.903199999990","-51.761200000000","966.500"
"Gentil","4308854","-28.431600000000","-52.033700000000","657.000"
"Get�lio Vargas","4308904","-27.891100000000","-52.229399999990","3.816.300"
"Giru�","4309001","-28.029699999990","-54.351700000000","3.347.650"
"Glorinha","4309050","-29.879799999990","-50.773400000000","1.643.000"
"Gramado","4309100","-29.373300000000","-50.876199999990","14.539.000"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","145.000"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","478.000"
"Gravata�","4309209","-29.941299999990","-50.986899999990","65.852.461"
"Guabiju","4309258","-28.542100000000","-51.694800000000","365.500"
"Gua�ba","4309308","-30.108599999990","-51.323300000000","23.699.240"
"Guapor�","4309407","-28.839900000000","-51.889499999990","6.409.500"
"Guarani das Miss�es","4309506","-28.149100000000","-54.562899999990","1.719.500"
"Harmonia","4309555","-29.545600000000","-51.418500000000","990.000"
"Herval","4307104","-32.024000000000","-53.394399999990","1.101.000"
"Herveiras","4309571","-29.455200000000","-52.655299999990","254.000"
"Horizontina","4309605","-27.628200000000","-54.305300000000","4.782.950"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","327.500"
"Humait�","4309704","-27.569099999990","-53.969499999990","839.000"
"Ibarama","4309753","-29.420300000000","-53.129500000000","527.000"
"Ibia��","4309803","-28.056600000000","-51.859900000000","1.040.000"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","1.400.000"
"Ibirapuit�","4309951","-28.624700000000","-52.515799999990","497.000"
"Ibirub�","4310009","-28.630199999990","-53.096100000000","5.483.000"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","20.695.000"
"Iju�","4310207","-28.388100000000","-53.920000000000","26.573.287"
"Il�polis","4310306","-28.928200000000","-52.125799999990","1.107.000"
"Imb�","4310330","-29.975300000000","-50.128100000000","7.262.200"
"Imigrante","4310363","-29.350800000000","-51.774700000000","705.000"
"Independ�ncia","4310405","-27.835400000000","-54.188600000000","1.205.000"
"Inhacor�","4310413","-27.875200000000","-54.015000000000","82.800"
"Ip�","4310439","-28.817100000000","-51.285899999990","1.432.000"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","436.000"
"Ira�","4310504","-27.195100000000","-53.254300000000","1.475.500"
"Itaara","4310538","-29.601299999990","-53.772500000000","138.000"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","205.000"
"Itapuca","4310579","-28.776800000000","-52.169300000000","200.000"
"Itaqui","4310603","-29.131000000000","-56.551499999990","5.593.000"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","538.000"
"Ivor�","4310751","-29.523199999990","-53.584200000000","153.000"
"Ivoti","4310801","-29.599499999990","-51.153300000000","5.577.000"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","413.000"
"Jacuizinho","4310876","-29.021999999990","-53.053699999990","207.000"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","809.000"
"Jaguar�o","4311007","-32.560400000000","-53.377000000000","5.717.986"
"Jaguari","4311106","-29.493600000000","-54.703000000000","1.899.500"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","616.000"
"J�ia","4311155","-28.643500000000","-54.114100000000","962.500"
"J�lio de Castilhos","4311205","-29.229800000000","-53.677199999990","3.704.000"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","240.000"
"Lagoa dos Tr�s Cantos","4311270","-28.567599999990","-52.861800000000","55.000"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","6.710.718"
"Lago�o","4311254","-29.234800000000","-52.799700000000","520.500"
"Lajeado","4311403","-29.459099999990","-51.964399999990","27.251.720"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","362.000"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","996.000"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","699.000"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","720.000"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","221.000"
"Ma�ambar�","4311718","-29.144500000000","-56.067399999990","490.000"
"Machadinho","4311700","-27.566700000000","-51.666800000000","760.000"
"Mampituba","4311734","-29.213600000000","-49.931100000000","240.600"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","1.243.300"
"Maquin�","4311775","-29.679800000000","-50.207900000000","1.078.000"
"Marat�","4311791","-29.545700000000","-51.557299999990","321.000"
"Marau","4311809","-28.449800000000","-52.198599999990","12.874.000"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","1.345.000"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","491.000"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","290.000"
"Marques de Souza","4312054","-29.331099999990","-52.097299999990","531.000"
"Mata","4312104","-29.564900000000","-54.464100000000","748.000"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","434.000"
"Mato Leit�o","4312153","-29.528500000000","-52.127800000000","791.000"
"Mato Queimado","4312179","-28.247500000000","-54.619199999990","214.000"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","971.314"
"Minas do Le�o","4312252","-30.134599999990","-52.042299999990","2.039.500"
